CO,Ozone,NO2,SO2,PM2.5,PM10,AQI
0.39,16.28,8.78,7.72,6.92,14.25,69
0.4,17.22,8.77,9.75,11.5,23.79,80
0.42,17.14,8.78,5.95,14.67,30.46,79
0.35,16.33,8.78,8.13,9.58,19.71,57
0.33,15.03,8.77,7.44,11.38,23.38,56
0.41,15.49,8.78,8.97,10.08,20.79,56
0.51,16.44,8.75,8.78,8.83,18,73
0.73,15.72,8.75,8.05,8.92,18.21,56
0.45,15.78,8.75,9.15,6.67,13.46,66
0.72,14.36,8.77,7.61,6.21,12.46,73
0.37,16.82,8.74,8.41,5.08,10.25,57
0.28,15,8.77,7.47,5.58,11.13,69
0.4,14.48,8.77,7.21,7.46,15.21,89
0.53,14.93,8.76,7.55,15.17,31.5,69
0.61,14,8.76,10.04,18.08,37.46,69
0.83,15.07,8.75,8.04,17.42,36,72
0.81,16.57,8.77,7.79,15.17,31.38,79
0.66,15.6,8.77,9.59,11.63,23.96,81
0.35,18.25,8.76,7.36,10.92,22.46,80
0.57,14.93,8.78,8.67,8.42,17.29,75
0.94,14.18,8.78,9.08,8.25,16.75,64
0.47,16.31,8.77,8.02,7.13,14.5,73
0.36,15.3,8.78,7.93,4.63,9.17,78
0.64,14.22,8.78,7.99,6.46,13.17,90
0.49,12.39,8.78,8.37,9.04,18.46,89
0.36,15.96,8.77,7.97,14.33,29.71,89
0.38,16.07,8.78,8.26,15.92,32.88,87
0.43,18.76,8.78,7.32,15.46,32,80
0.39,14.88,8.77,8.33,9.67,19.88,80
0.49,15.74,8.78,9.1,7.92,16.17,24
0.53,16.34,8.77,9.3,8.58,17.63,27
0.64,17.22,8.77,8.84,7.42,15.04,32
0.35,14.77,8.78,9.33,4.71,9.58,18
0.54,17.79,8.76,6.81,6.17,12.63,27
0.34,13.59,8.76,8.38,5.29,10.58,17
0.32,15.72,8.76,9.24,6.75,13.29,16
0.28,11.92,8.78,7.54,5.63,11.21,14
0.54,9.79,8.76,7.58,6.96,13.83,27
